WARON HOSPITAL,,,,,,,,,,Catatan :,
 Jasa Tindakan Operasi,,,,,,,,,,A,"Waktu untuk Tindakan Operasi : Senin - Sabtu, Jam 07.00 - 20.00"
Periode 2025 -2026,,,,,,,,,,B,Biaya jasa tindakan operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
,,,,,,,,,,,
Keterangan, Kelas III, Kelas II, Kelas I, VIP, VVIP , Penthouse," ICU, PICU, NICU",,,,
Visite Anastesi - by Specialist,  470.000 ,  500.000 ,  610.000 ,  770.000 ,  880.000 ,  990.000 ,  610.000 ,,,Note :,
Visite Anastesi - by subspecialist,  610.000 ,  630.000 ,  740.000 ,  880.000 ,  990.000 ,  1.100.000 ,  740.000 ,,,1. Waktu cut off untuk perhitungan sewa kamar adalah jam 12.00 WIB,
Visite Anastesi - by Professor,  700.000 ,  800.000 ,  900.000 ,  1.000.000 ,  1.100.000 ,  1.500.000 ,  900.000 ,,,2. Pasien pulang antara jam 12.00 - 18.00 tidak dikenakan tambahan biaya sewa kamar (Apabila karena visite dokter terlambat),
,,,,,,,,,,3. Pasien masuk dan keluar di hari yang sama dikenakan tarif maksimal 1 hari biaya sewa kamar,
,,,,,,,,,,4. Pasien menempati Bed kurang dari 6 jam akan kena tarif 50% dari biaya sewa kamar,
,,,,,,,,,,"5. Apabila pasien meminta extend kamar antara jam 12.00 - 18.00 dan telah diberikan rekomendasi pulang, ",
,,,,,,,,,,      Maka dikenakan tambahan charge 50% dari harga kamar,
WARON HOSPITAL,,,,,,,,,,,
Bed Rental,,,,,,,,,,,
Periode 2025 -2026,,,,,,,,,,,
,,,,,,,,,,,
,Others Room,,,,,,,,,,
No,Item detail, Kelas III, Kelas II, Kelas I, VIP, VVIP , Penthouse,ODC,,,
1,Baby room,500.000,500.000,500.000,500.000,500.000,500.000,,,,
2,Labor & delivery Room,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,,,,
3,Perina room,750.000,750.000,750.000,750.000,750.000,750.000,,,,
4,Observation Room <6 jam,400.000,400.000,400.000,400.000,400.000,400.000,,,,
5,Observation Room >6 jam,700.000,700.000,700.000,700.000,700.000,700.000,,,,
6,In Patient room,  650.000 ,  850.000 ,  1.750.000 ,  2.400.000 ,  6.500.000 ,  9.000.000 ,,,,
7,ICU,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,,,,
8,NICU,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,,,,
9,PICU,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,,,,
10,Isolation Room,1.750.000,1.750.000,1.750.000,1.750.000,1.750.000,1.750.000,,,,
,,,,,,,,,,,
,,,,,,,,,,,
